id,Name,titleProject_id,class,score,login,password
0,Сербин Геннадий Михаилович,7,8в,2,Сербин_ГМ,90C7nYRI
1,Папандина Клавдия Яковлевна,304,9в,5,Папандина_КЯ,OOqQ4iKa
2,Белагина Галина Андреевна,396,9а,4,Белагина_ГА,LPhlKZh5
3,Кижняева Анна Леонидовна,178,7и,2,Кижняева_АЛ,fMnMIz73
4,Цывин Олег Яковлевич,446,7т,2,Цывин_ОЯ,O9TtKLl1
5,Жидняева Ксения Эдуардовна,373,7х,4,Жидняева_КЭ,CN6mQhBR
6,Липковский Анатолий Иванович,144,10а,2,Липковский_АИ,lI6hGgN3
7,Меднова Наталья Богдановна,290,7и,5,Меднова_НБ,kU5Q1k4i
8,Житихин Вячеслав Романович,141,9а,5,Житихин_ВР,vckI2JNZ
9,Шеврина Полина Максимовна,33,11а,5,Шеврина_ПМ,h9dIquCU
10,Алпеев Валентин Данилович,323,8а,2,Алпеев_ВД,A2YW4LyK
11,Золикова Клара Игоревна,364,10х,2,Золикова_КИ,by4ItEQ2
12,Дориков Дмитрий Петрович,296,10г,5,Дориков_ДП,gJv5kGv9
13,Корабышев Кирилл Михаилович,302,8и,5,Корабышев_КМ,ZCmp4vDn
14,Ростовиков Константин Николаевич,336,10а,2,Ростовиков_КН,G8tm3vJt
15,Нехаев Дмитрий Фёдорович,129,7х,4,Нехаев_ДФ,HqwF36u5
16,Зызлова Мария Николаевна,430,8г,3,Зызлова_МН,6lpn8vAN
17,Королупов Валерий Тимофеевич,397,10д,5,Королупов_ВТ,NvPn8djP
18,Стенцов Евгений Яковлевич,315,8и,4,Стенцов_ЕЯ,S8j8MtgM
19,Феклисов Константин Виталиевич,270,9т,None,Феклисов_КВ,YGe3GKee
20,Синелев Руслан Тимофеевич,300,8и,2,Синелев_РТ,GiuWqWd8
21,Опевалова Вера Евгеньевна,473,9д,5,Опевалова_ВЕ,HtLAta3i
22,Назерова Вероника Василевна,206,7б,5,Назерова_ВВ,wdV8YmCy
23,Дименская Светлана Дмитриевна,387,9д,5,Дименская_СД,Mr2TpKr7
24,Ковторева Раиса Василевна,482,9и,2,Ковторева_РВ,urvH8gXa
25,Кулишнин Вячеслав Яковлевич,386,11х,5,Кулишнин_ВЯ,nQWeT36O
26,Лексин Кирилл Антонович,139,7в,5,Лексин_КА,LceTr9U3
27,Лаковский Григорий Василиевич,240,7д,5,Лаковский_ГВ,GmvnAsz7
28,Барамыкова Александра Алексеевна,106,10а,3,Барамыкова_АА,ZzzfmrJ7
29,Плясулина Оксана Андреевна,346,8х,2,Плясулина_ОА,QP3zJk9j
30,Петрикеев Станислав Яковлевич,14,7и,4,Петрикеев_СЯ,2Y1ti5KF
31,Моторыгин Илья Георгиевич,238,10и,5,Моторыгин_ИГ,ZkW0nZ5S
32,Рыков Тарас Павлович,174,10и,5,Рыков_ТП,xTXvu0LX
33,Иончикова Елизавета Егоровна,169,8д,5,Иончикова_ЕЕ,HO4UBRrH
34,Смолькина Алиса Егоровна,441,7г,5,Смолькина_АЕ,5C7JXxsc
35,Оболенин Герасим Павлович,472,7и,4,Оболенин_ГП,QoJ0pYvn
36,Трощинский Георгий Борисович,67,9д,3,Трощинский_ГБ,DFEcHf9X
37,Поддубская Лиза Игоревна,496,10а,4,Поддубская_ЛИ,LXLJKlA3
38,Телькова Валерия Олеговна,335,7х,4,Телькова_ВО,chQr2Es0
39,Чигварина Александра Алексеевна,428,10б,2,Чигварина_АА,k9iIVMEx
40,Киреевский Артур Игоревич,119,7в,3,Киреевский_АИ,Hod5wfa9
41,Шумейкин Роман Павлович,420,8в,5,Шумейкин_РП,Bhml99YV
42,Трушинов Максим Алексиевич,82,8и,4,Трушинов_МА,3aqgXri4
43,Голюков Денис Сергеевич,62,11б,4,Голюков_ДС,yVM0faE7
44,Хлиманкова Надежда Валерьевна,461,10б,3,Хлиманкова_НВ,HykLW5c1
45,Кулаженков Алексей Олегович,367,10в,2,Кулаженков_АО,FUx1e2Gg
46,Бутукин Владимир Адамович,221,7х,5,Бутукин_ВА,7OS5JKRr
47,Поддуев Леонид Олегович,149,9х,4,Поддуев_ЛО,nn5JnDd0
48,Ревцев Василий Павлович,360,9х,5,Ревцев_ВП,dTdR9JIM
49,Старокожев Артём Юрьевич,46,8д,3,Старокожев_АЮ,r5fyL1x0
50,Светошев Максим Михаилович,321,10х,2,Светошев_ММ,HcYSB7x6
51,Старынина Кристина Федоровна,266,9д,3,Старынина_КФ,BWIDn76g
52,Востров Дмитрий Денисович,282,9г,3,Востров_ДД,4pORtnER
53,Бураханова Анастасия Леонидовна,16,8г,2,Бураханова_АЛ,WOA9HRYx
54,Понизов Виктор Кириллович,214,11и,5,Понизов_ВК,83oRhTAn
55,Суздалев Валерий Алексеевич,66,11т,5,Суздалев_ВА,GuUYoAM6
56,Колендин Дмитрий Алексеевич,153,10в,4,Колендин_ДА,1n51tRrr
57,Сулькова Екатерина Андреевна,325,8и,4,Сулькова_ЕА,Ur7LPFRZ
58,Аржевитова Надежда Федоровна,242,10в,2,Аржевитова_НФ,nkMO7PF7
59,Крассов Валерий Олегович,201,8х,5,Крассов_ВО,7wX4o94i
60,Сонураева Инна Андреевна,450,9т,3,Сонураева_ИА,NNo6C2hg
61,Пашин Роман Вадимович,204,10д,2,Пашин_РВ,SQwYuzQ3
62,Фичкина Евгения Федоровна,29,11д,3,Фичкина_ЕФ,9YxhbrHE
63,Свилин Олег Виталиевич,123,8в,2,Свилин_ОВ,w8BpwLO2
64,Рогоцкий Андрей Адамович,142,9в,2,Рогоцкий_АА,BJw3CqG5
65,Ахантьев Игорь Валериевич,80,10д,5,Ахантьев_ИВ,IWa0gYm4
66,Сочиникова Ксения Кирилловна,100,10д,2,Сочиникова_КК,a4PJTBDg
67,Остюков Артур Романович,329,11и,3,Остюков_АР,lDNbopu2
68,Брюкина Оксана Викторовна,98,8в,5,Брюкина_ОВ,ZzMg2Hi7
69,Кузовенков Игорь Юрьевич,322,9г,None,Кузовенков_ИЮ,9JvbZBER
70,Калухов Тарас Иванович,207,11а,3,Калухов_ТИ,hnpPzOX1
71,Батыров Пётр Виталиевич,227,7и,3,Батыров_ПВ,1pzBnJZA
72,Озрина Катерина Валерьевна,147,10а,4,Озрина_КВ,2hvKKn45
73,Декалова Полина Леонидовна,470,11д,5,Декалова_ПЛ,SL0tUlHW
74,Лосицкий Владимир Кириллович,369,9т,5,Лосицкий_ВК,3xn9C2ES
75,Магнусов Пётр Максимович,437,7и,5,Магнусов_ПМ,Ru3f6YVI
76,Лавренков Михаил Василиевич,188,9б,2,Лавренков_МВ,h85PUnq7
77,Шушкалова Вероника Алексеевна,411,8т,5,Шушкалова_ВА,G0Pe0LQA
78,Бороданова Маргарита Дмитриевна,118,7г,5,Бороданова_МД,wII7FbAQ
79,Циркина Виолетта Федоровна,231,9г,2,Циркина_ВФ,4FIIRtNb
80,Болохина Екатерина Андреевна,194,11д,3,Болохина_ЕА,T0Yxgucp
81,Чукалова Дарья Валерьевна,20,10г,4,Чукалова_ДВ,yTSP3bP7
82,Беловолов Степан Петрович,222,9д,2,Беловолов_СП,gPHb7YcZ
83,Зудейкина Вероника Ивановна,166,8и,3,Зудейкина_ВИ,vg2j2rQB
84,Макунова Мария Борисовна,47,9в,5,Макунова_МБ,tSZuV3DD
85,Верзанский Геннадий Андреевич,497,7д,5,Верзанский_ГА,6sDl69mp
